source,target,requirement
Math 32B,Stats 100A,Enforced
Math 33A,Stats 100A,Enforced
Stats 100A,Stats 100B,Choice
Math 170A,Stats 100B,Choice
Stats 100B,Stats 100C,Enforced
Stats 10,Stats 101A,Enforced
Stats 101A,Stats 101B,Enforced
Math 33A,Stats 102A,Enforced
Stats 10,Stats 102A,Enforced
Math 33A,Stats 102B,Enforced
Stats 100B,Stats 102B,Enforced
Stats 102A,Stats 102B,Enforced
Stats 100B,Stats 102C,Enforced
Stats 140SL,Stats 141SL,Enforced
Stats 100C,Stats 170,Choice
Stats 101B,Stats 170,Choice
Math 32B,Stats C180,Enforced
Stats 100B,Stats C180,Enforced
